Genre,Anime,Score,Eps,Link
Horror,Boogiepop wa Warawanai,7.15,12,https://myanimelist.net/anime/369/Boogiepop_wa_Warawanai
Horror,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",7.12,1,https://myanimelist.net/anime/376/Elfen_Lied__Tooriame_nite_Arui_wa_Shoujo_wa_Ikani_Shite_Sono_Shinjou_ni_Itatta_ka_-_Regenschauer
Horror,Gantz,6.97,13,https://myanimelist.net/anime/384/Gantz
Horror,Gantz 2nd Stage,7.01,13,https://myanimelist.net/anime/395/Gantz_2nd_Stage
Horror,Blood: The Last Vampire,6.87,1,https://myanimelist.net/anime/405/Blood__The_Last_Vampire
Horror,Hametsu no Mars,2.23,1,https://myanimelist.net/anime/413/Hametsu_no_Mars
Horror,Perfect Blue,8.55,1,https://myanimelist.net/anime/437/Perfect_Blue
Horror,Makai Toshi Shinjuku,6.18,1,https://myanimelist.net/anime/499/Makai_Toshi_Shinjuku
Horror,Cossette no Shouzou,6.77,3,https://myanimelist.net/anime/514/Cossette_no_Shouzou
Mystery,Witch Hunter Robin,7.24,26,https://myanimelist.net/anime/7/Witch_Hunter_Robin
Mystery,Monster,8.89,74,https://myanimelist.net/anime/19/Monster
Mystery,Texhnolyze,7.75,22,https://myanimelist.net/anime/26/Texhnolyze
Mystery,Koukaku Kidoutai,8.27,1,https://myanimelist.net/anime/43/Koukaku_Kidoutai
